Name,G3D,G2D,Price,TDP,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19
NVIDIA GeForce GTX 1070 Ti,14500,877,389,180,0.72,0.67,0.72,0.64,0.61,0.59,0.6,0.56,0.52,0.53,0.65,0.5,0.47,0.48,0.47,0.49,0.48,0.44,0.42,0.41
NVIDIA GeForce RTX 2080 SUPER,19519,934,683.99,250,0.77,0.7,0.75,0.66,0.66,0.63,0.7,0.62,0.55,0.59,0.8,0.55,0.52,0.56,0.55,0.54,0.52,0.53,0.51,0.51
NVIDIA GeForce RTX 2080,18732,917,633.03,250,0.68,0.62,0.67,0.61,0.58,0.57,0.59,0.53,0.52,0.51,0.6,0.5,0.47,0.5,0.49,0.47,0.46,0.45,0.46,0.43
NVIDIA GeForce RTX 2080 Ti,21796,940,998.59,250,0.56,0.53,0.59,0.52,0.52,0.47,0.45,0.47,0.43,0.44,0.31,0.41,0.41,0.45,0.46,0.4,0.43,0.42,0.41,0.38
NVIDIA GeForce RTX 3050 Laptop GPU,9037,416,379.99,80,0.46,0.54,0.52,0.58,0.63,0.79,0.67,0.93,0.88,0.97,0.64,0.93,0.85,0.74,0.8,0.76,0.75,0.67,0.74,0.67
NVIDIA GeForce RTX 3090,26395,999,1749.99,350,0.45,0.46,0.52,0.46,0.5,0.49,0.48,0.53,0.55,0.51,0.43,0.51,0.52,0.6,0.61,0.54,0.6,0.59,0.61,0.54
AMD Radeon RX 550,2718,484,157.74,50,0.45,0.49,0.5,0.5,0.49,0.45,0.42,0.46,0.45,0.43,0.27,0.44,0.4,0.38,0.36,0.33,0.34,0.33,0.33,0.29
NVIDIA GeForce GT 730,812,238,109.99,49,0.5,0.54,0.5,0.54,0.5,0.48,0.42,0.48,0.49,0.42,0.27,0.43,0.41,0.4,0.37,0.35,0.32,0.31,0.3,0.27
AMD Radeon RX 6600 XT,15853,1003,399.99,160,0,0.3,0.33,0.33,0.36,0.37,0.33,0.37,0.37,0.38,0.33,0.4,0.39,0.41,0.42,0.38,0.41,0.39,0.39,0.38
NVIDIA GeForce GTX 960M,3419,245,1169,65,0.42,0.43,0.39,0.39,0.34,0.33,0.29,0.33,0.32,0.28,0.18,0.27,0.23,0.24,0.23,0.2,0.2,0.21,0.2,0.17
AMD Radeon RX 6700 XT,18993,1014,529.99,230,0.23,0.25,0.28,0.27,0.31,0.32,0.32,0.38,0.47,0.47,0.35,0.53,0.57,0.63,0.68,0.64,0.74,0.75,0.76,0.7
NVIDIA GeForce GT 710,637,214,102.99,25,0.36,0.37,0.35,0.37,0.34,0.31,0.28,0.3,0.31,0.27,0.17,0.27,0,0,0,0,0.2,0.19,0.19,0.16
AMD Radeon RX 560,3594,506,225.91,80,0.3,0.3,0.31,0.29,0.27,0.26,0.23,0.24,0.23,0.21,0,0.22,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 950,5392,641,141.99,90,0.35,0.34,0.32,0.31,0.28,0.28,0.29,0.25,0.23,0.22,0.2,0.21,0,0,0,0,0,0,0,0
AMD Radeon RX 5500 XT,9188,824,449,130,0.26,0.27,0.28,0.26,0.25,0.23,0.21,0.23,0.23,0.23,0.16,0.23,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.19
NVIDIA GeForce MX150,2310,218,59.29,25,0.34,0.36,0.31,0.32,0.28,0.27,0.23,0.27,0.27,0.24,0,0.23,0,0,0,0,0,0,0,0
AMD Radeon RX 5600 XT,13836,914,545,150,0.25,0.24,0.25,0.23,0.22,0.21,0.2,0.23,0.22,0.23,0.16,0.24,0.24,0.25,0.25,0.24,0.24,0.23,0.24,0.22
NVIDIA GeForce GTX 750,3399,480,219.99,55,0.27,0.28,0.27,0.26,0.24,0.23,0.2,0.22,0.21,0.19,0,0.19,0,0,0,0,0,0,0,0
AMD Radeon RX 590 Series,9665,810,549.99,175,0.22,0.23,0.23,0.21,0.2,0.19,0.17,0.19,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 480,8674,779,339.99,150,0.24,0.23,0.24,0.22,0.22,0.19,0.17,0.19,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 950M,2602,219,567,75,0.26,0.27,0.25,0.24,0.22,0.2,0.18,0.21,0.2,0.18,0,0.17,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 650,1769,346,109.98,64,0.24,0.24,0.24,0.23,0.22,0.21,0.18,0.2,0.19,0.17,0,0.17,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 980,11237,815,247.35,165,0.21,0.2,0.22,0.19,0.18,0.17,0.15,0.16,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 6900 XT,25458,1102,1120.31,300,0,0.15,0.18,0.16,0.18,0.18,0.18,0.2,0.23,0.21,0,0.2,0.21,0.25,0.25,0.23,0.26,0.24,0.24,0.22
NVIDIA GeForce GTX 660,4004,476,167.95,140,0.21,0.22,0.21,0.2,0.19,0.17,0.15,0.16,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 6800 XT,23364,1078,859,300,0,0,0.15,0,0.16,0.16,0.16,0.19,0.21,0.22,0.15,0.24,0.27,0.31,0.33,0.31,0.34,0.34,0.34,0.31
NVIDIA GeForce GTX 760,4775,523,149,170,0.21,0.21,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 980 Ti,13864,854,719.4,250,0.19,0.17,0.19,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 460,4114,570,166.81,75,0.17,0.18,0.17,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 5700,14729,926,899.95,180,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 6800,20667,1030,758.99,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0.17,0.16
