Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,percent
ATI Radeon X800 GTO,GPU,2007-12-29,130.0,49.0,289.0,160.0,400.0,TSMC,ATI,,,
NVIDIA GeForce 305M,GPU,2010-01-10,40.0,14.0,57.0,260.0,525.0,TSMC,NVIDIA,,36.8,
ATI Mobility Radeon HD 3870 X2,GPU,2008-09-01,55.0,110.0,192.0,666.0,660.0,TSMC,ATI,,422.4,84.48
3dfx Spectre 1000,GPU,,180.0,30.0,131.0,30.0,200.0,TSMC,Other,,,
Intel HD Graphics 5300,GPU,2014-09-05,14.0,15.0,,,300.0,Intel,Intel,,307.2,76.8
Matrox QID LP PCIe,GPU,2004-12-17,0.0,,,,250.0,UMC,Other,,,
NVIDIA GeForce GTX 660 OEM,GPU,2012-08-22,28.0,130.0,294.0,3540.0,823.0,TSMC,NVIDIA,,2045.9999999999998,85.25
NVIDIA GeForce GTX 460 SE,GPU,2010-11-15,40.0,150.0,332.0,1950.0,650.0,TSMC,NVIDIA,,748.8,62.4
AMD Radeon R5 M255,GPU,2014-10-12,28.0,,125.0,1550.0,925.0,TSMC,AMD,721.9,721.9,45.12
ATI Radeon X1600 PRO AGP,GPU,2007-10-01,90.0,41.0,150.0,157.0,500.0,TSMC,ATI,,,
NVIDIA GeForce Go 7900 GS,GPU,2006-04-18,90.0,20.0,196.0,278.0,375.0,TSMC,NVIDIA,,,
ATI Radeon 7000,GPU,2001-02-19,180.0,23.0,80.0,30.0,183.0,TSMC,ATI,,,
AMD Radeon HD 7450A,GPU,2012-01-05,40.0,25.0,67.0,370.0,625.0,TSMC,AMD,,200.0,
NVIDIA GeForce 9800 GT Rebrand,GPU,2008-07-21,65.0,125.0,324.0,754.0,725.0,TSMC,NVIDIA,,448.0,
NVIDIA GeForce4 MX 4000,GPU,2003-12-14,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
NVIDIA GeForce 8800 GTS 320,GPU,2007-02-12,90.0,143.0,484.0,681.0,513.0,TSMC,NVIDIA,,228.1,
NVIDIA Tegra 2 GPU,GPU,2010-06-03,40.0,20.0,,,300.0,TSMC,NVIDIA,,,
NVIDIA GeForce GT 540M,GPU,2011-01-05,40.0,35.0,116.0,585.0,672.0,TSMC,NVIDIA,,258.0,21.5
