,"('G3',)","('G2',)","('RP',)","('RTDP',)","('RP*RTDP*',)","('G2*RTDP*',)","('G2*RP*',)","('G2*RP*RTDP*',)","('G3*RTDP*',)","('G3*RP*',)","('G3*RP*RTDP*',)","('G3*G2*',)","('G3*G2*RTDP*',)","('G3*G2*RP*',)","('G3*G2*RP*RTDP*',)"
0,1.5091843678774794e-07,3.0574792164212344e-09,2.0300235017237612e-08,1.10386830174604e-09,8.41863896848401e-07,1.3966117156951129e-06,1.3778682572251176e-05,0.0005427066188015053,3.682360525983775e-05,0.00010621204551729437,0.00415404681270136,0.0001626551136999522,0.031408215828245836,0.06876278703344696,3.1571926274251623
1,5.144625285007119e-10,1.7169641793226183e-12,2.0548428322662502e-10,6.6791372062297534e-12,1.1784033165467624e-07,1.552713043914187e-08,2.799171293366419e-07,0.00012038685710806492,1.3046507908101186e-06,9.056332964262818e-06,0.002948717930711432,1.053521245243962e-06,0.001680549907384675,0.009347354400689298,2.984412120887497
2,1.0078556117381768e-05,5.282708829410541e-07,1.704741516643354e-07,1.295020545834277e-07,2.578107913110934e-06,0.00011417394235696704,0.00010436008094447421,0.0013320607130775028,0.0014702952176172623,0.0003235053482056794,0.003648018059918543,0.00914761719090825,1.066006114637695,0.178418724495059,2.498531421209448
